"id","predator","complexity_level","treatment","ring_count","n_initial","n_final","n_eaten","block_id","microcosm_id","date"
1,"Notonecta glauca",0,"Notonecta glauca 0",0,1,1,0,1,14,2017-12-19
2,"Notonecta glauca",0,"Notonecta glauca 0",0,1,0,1,1,6,2018-01-23
3,"Notonecta glauca",0,"Notonecta glauca 0",0,1,0,1,1,11,2018-02-14
4,"Notonecta glauca",0,"Notonecta glauca 0",0,3,2,1,1,30,2017-12-19
5,"Notonecta glauca",0,"Notonecta glauca 0",0,3,0,3,1,29,2018-01-23
6,"Notonecta glauca",0,"Notonecta glauca 0",0,3,0,3,1,21,2018-02-14
7,"Notonecta glauca",0,"Notonecta glauca 0",0,5,3,2,1,8,2017-12-19
8,"Notonecta glauca",0,"Notonecta glauca 0",0,5,0,5,1,13,2018-01-23
9,"Notonecta glauca",0,"Notonecta glauca 0",0,5,0,5,1,18,2018-02-14
10,"Notonecta glauca",0,"Notonecta glauca 0",0,10,2,8,1,5,2017-12-19
11,"Notonecta glauca",0,"Notonecta glauca 0",0,10,0,10,1,7,2018-01-23
12,"Notonecta glauca",0,"Notonecta glauca 0",0,10,4,6,1,22,2018-02-14
13,"Notonecta glauca",0,"Notonecta glauca 0",0,30,25,5,1,7,2017-12-19
14,"Notonecta glauca",0,"Notonecta glauca 0",0,30,18,12,1,10,2018-01-23
15,"Notonecta glauca",0,"Notonecta glauca 0",0,30,13,17,1,17,2018-02-14
16,"Notonecta glauca",0,"Notonecta glauca 0",0,120,105,15,1,21,2017-12-19
17,"Notonecta glauca",0,"Notonecta glauca 0",0,120,95,25,1,20,2018-01-23
18,"Notonecta glauca",0,"Notonecta glauca 0",0,120,77,43,1,6,2018-02-14
19,"Notonecta glauca",1,"Notonecta glauca 1",2,1,1,0,1,25,2017-12-19
20,"Notonecta glauca",1,"Notonecta glauca 1",2,1,0,1,1,27,2018-01-23
21,"Notonecta glauca",1,"Notonecta glauca 1",2,1,1,0,1,9,2018-02-14
22,"Notonecta glauca",1,"Notonecta glauca 1",2,3,0,3,1,29,2017-12-19
23,"Notonecta glauca",1,"Notonecta glauca 1",2,3,3,0,1,11,2018-01-23
24,"Notonecta glauca",1,"Notonecta glauca 1",2,3,0,3,1,29,2018-02-14
25,"Notonecta glauca",1,"Notonecta glauca 1",2,5,5,0,1,3,2017-12-19
26,"Notonecta glauca",1,"Notonecta glauca 1",2,5,2,3,1,22,2018-01-23
27,"Notonecta glauca",1,"Notonecta glauca 1",2,5,2,3,1,12,2018-02-14
28,"Notonecta glauca",1,"Notonecta glauca 1",2,10,9,1,1,24,2017-12-19
29,"Notonecta glauca",1,"Notonecta glauca 1",2,10,9,1,1,2,2018-01-23
30,"Notonecta glauca",1,"Notonecta glauca 1",2,10,4,6,1,1,2018-02-14
31,"Notonecta glauca",1,"Notonecta glauca 1",2,30,23,7,1,18,2017-12-19
32,"Notonecta glauca",1,"Notonecta glauca 1",2,30,22,8,1,18,2018-01-23
33,"Notonecta glauca",1,"Notonecta glauca 1",2,30,26,4,1,13,2018-02-14
34,"Notonecta glauca",1,"Notonecta glauca 1",2,120,117,3,1,15,2017-12-19
35,"Notonecta glauca",1,"Notonecta glauca 1",2,120,107,13,1,21,2018-01-23
36,"Notonecta glauca",1,"Notonecta glauca 1",2,120,108,12,1,15,2018-02-14
37,"Notonecta glauca",2,"Notonecta glauca 2",2,1,1,0,1,10,2017-12-19
38,"Notonecta glauca",2,"Notonecta glauca 2",2,1,1,0,1,24,2018-01-23
39,"Notonecta glauca",2,"Notonecta glauca 2",2,1,0,1,1,2,2018-02-14
40,"Notonecta glauca",2,"Notonecta glauca 2",2,3,2,1,1,11,2017-12-19
41,"Notonecta glauca",2,"Notonecta glauca 2",2,3,0,3,1,1,2018-01-23
42,"Notonecta glauca",2,"Notonecta glauca 2",2,3,1,2,1,27,2018-02-14
43,"Notonecta glauca",2,"Notonecta glauca 2",2,5,2,3,1,26,2017-12-19
44,"Notonecta glauca",2,"Notonecta glauca 2",2,5,3,2,1,16,2018-01-23
45,"Notonecta glauca",2,"Notonecta glauca 2",2,5,4,1,1,8,2018-02-14
46,"Notonecta glauca",2,"Notonecta glauca 2",2,10,7,3,1,9,2017-12-19
47,"Notonecta glauca",2,"Notonecta glauca 2",2,10,7,3,1,9,2018-01-23
48,"Notonecta glauca",2,"Notonecta glauca 2",2,10,6,4,1,30,2018-02-14
49,"Notonecta glauca",2,"Notonecta glauca 2",2,30,22,8,1,12,2017-12-19
50,"Notonecta glauca",2,"Notonecta glauca 2",2,30,14,16,1,28,2018-01-23
51,"Notonecta glauca",2,"Notonecta glauca 2",2,30,17,13,1,4,2018-02-14
52,"Notonecta glauca",2,"Notonecta glauca 2",2,120,106,14,1,28,2017-12-19
53,"Notonecta glauca",2,"Notonecta glauca 2",2,120,105,15,1,25,2018-01-23
54,"Notonecta glauca",2,"Notonecta glauca 2",2,120,104,16,1,24,2018-02-14
55,"Notonecta glauca",3,"Notonecta glauca 3",3,1,1,0,1,17,2017-12-19
56,"Notonecta glauca",3,"Notonecta glauca 3",3,1,0,1,1,5,2018-01-23
57,"Notonecta glauca",3,"Notonecta glauca 3",3,1,1,0,1,20,2018-02-14
58,"Notonecta glauca",3,"Notonecta glauca 3",3,3,2,1,1,22,2017-12-19
59,"Notonecta glauca",3,"Notonecta glauca 3",3,3,1,2,1,12,2018-01-23
60,"Notonecta glauca",3,"Notonecta glauca 3",3,3,2,1,1,14,2018-02-14
61,"Notonecta glauca",3,"Notonecta glauca 3",3,5,5,0,1,19,2017-12-19
62,"Notonecta glauca",3,"Notonecta glauca 3",3,5,2,3,1,3,2018-01-23
63,"Notonecta glauca",3,"Notonecta glauca 3",3,5,2,3,1,5,2018-02-14
64,"Notonecta glauca",3,"Notonecta glauca 3",3,10,8,2,1,20,2017-12-19
65,"Notonecta glauca",3,"Notonecta glauca 3",3,10,9,1,1,4,2018-01-23
66,"Notonecta glauca",3,"Notonecta glauca 3",3,10,8,2,1,10,2018-02-14
67,"Notonecta glauca",3,"Notonecta glauca 3",3,30,24,6,1,13,2017-12-19
68,"Notonecta glauca",3,"Notonecta glauca 3",3,30,18,12,1,8,2018-01-23
69,"Notonecta glauca",3,"Notonecta glauca 3",3,30,24,6,1,7,2018-02-14
70,"Notonecta glauca",3,"Notonecta glauca 3",3,120,118,2,1,27,2017-12-19
71,"Notonecta glauca",3,"Notonecta glauca 3",3,120,77,43,1,19,2018-01-23
72,"Notonecta glauca",3,"Notonecta glauca 3",3,120,110,10,1,26,2018-02-14
73,"Notonecta glauca",4,"Notonecta glauca 4",3,1,1,0,1,4,2017-12-19
74,"Notonecta glauca",4,"Notonecta glauca 4",3,1,0,1,1,30,2018-01-23
75,"Notonecta glauca",4,"Notonecta glauca 4",3,1,1,0,1,19,2018-02-14
76,"Notonecta glauca",4,"Notonecta glauca 4",3,3,2,1,1,23,2017-12-19
77,"Notonecta glauca",4,"Notonecta glauca 4",3,3,1,2,1,17,2018-01-23
78,"Notonecta glauca",4,"Notonecta glauca 4",3,3,2,1,1,28,2018-02-14
79,"Notonecta glauca",4,"Notonecta glauca 4",3,5,5,0,1,2,2017-12-19
80,"Notonecta glauca",4,"Notonecta glauca 4",3,5,1,4,1,26,2018-01-23
81,"Notonecta glauca",4,"Notonecta glauca 4",3,5,5,0,1,23,2018-02-14
82,"Notonecta glauca",4,"Notonecta glauca 4",3,10,9,1,1,16,2017-12-19
83,"Notonecta glauca",4,"Notonecta glauca 4",3,10,4,6,1,23,2018-01-23
84,"Notonecta glauca",4,"Notonecta glauca 4",3,10,9,1,1,16,2018-02-14
85,"Notonecta glauca",4,"Notonecta glauca 4",3,30,28,2,1,1,2017-12-19
86,"Notonecta glauca",4,"Notonecta glauca 4",3,30,23,7,1,14,2018-01-23
87,"Notonecta glauca",4,"Notonecta glauca 4",3,30,18,12,1,3,2018-02-14
88,"Notonecta glauca",4,"Notonecta glauca 4",3,120,117,3,1,6,2017-12-19
89,"Notonecta glauca",4,"Notonecta glauca 4",3,120,99,21,1,15,2018-01-23
90,"Notonecta glauca",4,"Notonecta glauca 4",3,120,113,7,1,25,2018-02-14
91,"Notonecta glauca",0,"Notonecta glauca 0",0,1,0,1,2,19,2018-04-04
92,"Notonecta glauca",0,"Notonecta glauca 0",0,1,1,0,2,27,2018-04-11
93,"Notonecta glauca",0,"Notonecta glauca 0",0,1,0,1,2,12,2018-04-16
94,"Notonecta glauca",0,"Notonecta glauca 0",0,3,0,3,2,27,2018-04-04
95,"Notonecta glauca",0,"Notonecta glauca 0",0,3,0,3,2,18,2018-04-11
96,"Notonecta glauca",0,"Notonecta glauca 0",0,3,0,3,2,38,2018-04-16
97,"Notonecta glauca",0,"Notonecta glauca 0",0,5,3,2,2,4,2018-04-04
98,"Notonecta glauca",0,"Notonecta glauca 0",0,5,0,5,2,37,2018-04-11
99,"Notonecta glauca",0,"Notonecta glauca 0",0,5,0,5,2,39,2018-04-16
100,"Notonecta glauca",0,"Notonecta glauca 0",0,10,3,7,2,37,2018-04-04
101,"Notonecta glauca",0,"Notonecta glauca 0",0,10,8,2,2,3,2018-04-11
102,"Notonecta glauca",0,"Notonecta glauca 0",0,10,7,3,2,33,2018-04-16
103,"Notonecta glauca",0,"Notonecta glauca 0",0,30,14,16,2,40,2018-04-04
104,"Notonecta glauca",0,"Notonecta glauca 0",0,30,18,12,2,23,2018-04-11
105,"Notonecta glauca",0,"Notonecta glauca 0",0,30,20,10,2,40,2018-04-16
106,"Notonecta glauca",0,"Notonecta glauca 0",0,80,41,39,2,1,2018-04-04
107,"Notonecta glauca",0,"Notonecta glauca 0",0,80,54,26,2,12,2018-04-11
108,"Notonecta glauca",0,"Notonecta glauca 0",0,80,67,13,2,27,2018-04-16
109,"Notonecta glauca",0,"Notonecta glauca 0",0,120,113,7,2,25,2018-04-04
110,"Notonecta glauca",0,"Notonecta glauca 0",0,120,107,13,2,16,2018-04-11
111,"Notonecta glauca",0,"Notonecta glauca 0",0,120,89,31,2,2,2018-04-16
112,"Notonecta glauca",0,"Notonecta glauca 0",0,180,131,49,2,5,2018-04-04
113,"Notonecta glauca",0,"Notonecta glauca 0",0,180,143,37,2,7,2018-04-11
114,"Notonecta glauca",0,"Notonecta glauca 0",0,180,166,14,2,15,2018-04-16
115,"Notonecta glauca",1,"Notonecta glauca 1",2,1,0,1,2,26,2018-04-04
116,"Notonecta glauca",1,"Notonecta glauca 1",2,1,0,1,2,19,2018-04-11
117,"Notonecta glauca",1,"Notonecta glauca 1",2,1,0,1,2,23,2018-04-16
118,"Notonecta glauca",1,"Notonecta glauca 1",2,3,1,2,2,10,2018-04-04
119,"Notonecta glauca",1,"Notonecta glauca 1",2,3,3,0,2,6,2018-04-11
120,"Notonecta glauca",1,"Notonecta glauca 1",2,3,2,1,2,1,2018-04-16
121,"Notonecta glauca",1,"Notonecta glauca 1",2,5,1,4,2,38,2018-04-04
122,"Notonecta glauca",1,"Notonecta glauca 1",2,5,3,2,2,13,2018-04-11
123,"Notonecta glauca",1,"Notonecta glauca 1",2,5,0,5,2,36,2018-04-16
124,"Notonecta glauca",1,"Notonecta glauca 1",2,10,8,2,2,36,2018-04-04
125,"Notonecta glauca",1,"Notonecta glauca 1",2,10,8,2,2,26,2018-04-11
126,"Notonecta glauca",1,"Notonecta glauca 1",2,10,1,9,2,31,2018-04-16
127,"Notonecta glauca",1,"Notonecta glauca 1",2,30,19,11,2,15,2018-04-04
128,"Notonecta glauca",1,"Notonecta glauca 1",2,30,30,0,2,28,2018-04-11
129,"Notonecta glauca",1,"Notonecta glauca 1",2,30,4,26,2,22,2018-04-16
130,"Notonecta glauca",1,"Notonecta glauca 1",2,80,67,13,2,16,2018-04-04
131,"Notonecta glauca",1,"Notonecta glauca 1",2,80,75,5,2,10,2018-04-11
132,"Notonecta glauca",1,"Notonecta glauca 1",2,80,73,7,2,28,2018-04-16
133,"Notonecta glauca",1,"Notonecta glauca 1",2,120,97,23,2,14,2018-04-04
134,"Notonecta glauca",1,"Notonecta glauca 1",2,120,117,3,2,22,2018-04-11
135,"Notonecta glauca",1,"Notonecta glauca 1",2,120,113,7,2,30,2018-04-16
136,"Notonecta glauca",1,"Notonecta glauca 1",2,180,144,36,2,20,2018-04-04
137,"Notonecta glauca",1,"Notonecta glauca 1",2,180,159,21,2,20,2018-04-11
138,"Notonecta glauca",1,"Notonecta glauca 1",2,180,159,21,2,35,2018-04-16
139,"Notonecta glauca",2,"Notonecta glauca 2",2,1,0,1,2,6,2018-04-04
140,"Notonecta glauca",2,"Notonecta glauca 2",2,1,1,0,2,39,2018-04-11
141,"Notonecta glauca",2,"Notonecta glauca 2",2,1,0,1,2,5,2018-04-16
142,"Notonecta glauca",2,"Notonecta glauca 2",2,3,2,1,2,34,2018-04-04
143,"Notonecta glauca",2,"Notonecta glauca 2",2,3,3,0,2,9,2018-04-11
144,"Notonecta glauca",2,"Notonecta glauca 2",2,3,0,3,2,11,2018-04-16
145,"Notonecta glauca",2,"Notonecta glauca 2",2,5,2,3,2,2,2018-04-04
146,"Notonecta glauca",2,"Notonecta glauca 2",2,5,5,0,2,8,2018-04-11
147,"Notonecta glauca",2,"Notonecta glauca 2",2,5,2,3,2,16,2018-04-16
148,"Notonecta glauca",2,"Notonecta glauca 2",2,10,7,3,2,13,2018-04-04
149,"Notonecta glauca",2,"Notonecta glauca 2",2,10,8,2,2,32,2018-04-11
150,"Notonecta glauca",2,"Notonecta glauca 2",2,10,2,8,2,29,2018-04-16
151,"Notonecta glauca",2,"Notonecta glauca 2",2,30,16,14,2,23,2018-04-04
152,"Notonecta glauca",2,"Notonecta glauca 2",2,30,25,5,2,17,2018-04-11
153,"Notonecta glauca",2,"Notonecta glauca 2",2,30,7,23,2,18,2018-04-16
154,"Notonecta glauca",2,"Notonecta glauca 2",2,80,63,17,2,35,2018-04-04
155,"Notonecta glauca",2,"Notonecta glauca 2",2,80,75,5,2,36,2018-04-11
156,"Notonecta glauca",2,"Notonecta glauca 2",2,80,54,26,2,3,2018-04-16
157,"Notonecta glauca",2,"Notonecta glauca 2",2,120,69,51,2,24,2018-04-04
158,"Notonecta glauca",2,"Notonecta glauca 2",2,120,115,5,2,25,2018-04-11
159,"Notonecta glauca",2,"Notonecta glauca 2",2,120,110,10,2,17,2018-04-16
160,"Notonecta glauca",2,"Notonecta glauca 2",2,180,150,30,2,8,2018-04-04
161,"Notonecta glauca",2,"Notonecta glauca 2",2,180,156,24,2,31,2018-04-11
162,"Notonecta glauca",2,"Notonecta glauca 2",2,180,162,18,2,6,2018-04-16
163,"Notonecta glauca",3,"Notonecta glauca 3",3,1,1,0,2,31,2018-04-04
164,"Notonecta glauca",3,"Notonecta glauca 3",3,1,1,0,2,14,2018-04-11
165,"Notonecta glauca",3,"Notonecta glauca 3",3,1,0,1,2,25,2018-04-16
166,"Notonecta glauca",3,"Notonecta glauca 3",3,3,2,1,2,30,2018-04-04
167,"Notonecta glauca",3,"Notonecta glauca 3",3,3,3,0,2,40,2018-04-11
168,"Notonecta glauca",3,"Notonecta glauca 3",3,3,0,3,2,20,2018-04-16
169,"Notonecta glauca",3,"Notonecta glauca 3",3,5,3,2,2,11,2018-04-04
170,"Notonecta glauca",3,"Notonecta glauca 3",3,5,4,1,2,2,2018-04-11
171,"Notonecta glauca",3,"Notonecta glauca 3",3,5,1,4,2,37,2018-04-16
172,"Notonecta glauca",3,"Notonecta glauca 3",3,10,9,1,2,17,2018-04-04
173,"Notonecta glauca",3,"Notonecta glauca 3",3,10,7,3,2,5,2018-04-11
174,"Notonecta glauca",3,"Notonecta glauca 3",3,10,9,1,2,13,2018-04-16
175,"Notonecta glauca",3,"Notonecta glauca 3",3,30,28,2,2,28,2018-04-04
176,"Notonecta glauca",3,"Notonecta glauca 3",3,30,29,1,2,34,2018-04-11
177,"Notonecta glauca",3,"Notonecta glauca 3",3,30,23,7,2,26,2018-04-16
178,"Notonecta glauca",3,"Notonecta glauca 3",3,80,57,23,2,3,2018-04-04
179,"Notonecta glauca",3,"Notonecta glauca 3",3,80,67,13,2,30,2018-04-11
180,"Notonecta glauca",3,"Notonecta glauca 3",3,80,69,11,2,32,2018-04-16
181,"Notonecta glauca",3,"Notonecta glauca 3",3,120,102,18,2,22,2018-04-04
182,"Notonecta glauca",3,"Notonecta glauca 3",3,120,110,10,2,24,2018-04-11
183,"Notonecta glauca",3,"Notonecta glauca 3",3,120,98,22,2,4,2018-04-16
184,"Notonecta glauca",3,"Notonecta glauca 3",3,180,166,14,2,32,2018-04-04
185,"Notonecta glauca",3,"Notonecta glauca 3",3,180,174,6,2,38,2018-04-11
186,"Notonecta glauca",3,"Notonecta glauca 3",3,180,158,22,2,24,2018-04-16
187,"Notonecta glauca",4,"Notonecta glauca 4",3,1,0,1,2,9,2018-04-04
188,"Notonecta glauca",4,"Notonecta glauca 4",3,1,0,1,2,21,2018-04-11
189,"Notonecta glauca",4,"Notonecta glauca 4",3,1,0,1,2,34,2018-04-16
190,"Notonecta glauca",4,"Notonecta glauca 4",3,3,2,1,2,33,2018-04-04
191,"Notonecta glauca",4,"Notonecta glauca 4",3,3,1,2,2,29,2018-04-11
192,"Notonecta glauca",4,"Notonecta glauca 4",3,3,2,1,2,7,2018-04-16
193,"Notonecta glauca",4,"Notonecta glauca 4",3,5,2,3,2,12,2018-04-04
194,"Notonecta glauca",4,"Notonecta glauca 4",3,5,5,0,2,11,2018-04-11
195,"Notonecta glauca",4,"Notonecta glauca 4",3,5,1,4,2,14,2018-04-16
196,"Notonecta glauca",4,"Notonecta glauca 4",3,10,7,3,2,39,2018-04-04
197,"Notonecta glauca",4,"Notonecta glauca 4",3,10,10,0,2,4,2018-04-11
198,"Notonecta glauca",4,"Notonecta glauca 4",3,10,4,6,2,21,2018-04-16
199,"Notonecta glauca",4,"Notonecta glauca 4",3,30,22,8,2,21,2018-04-04
200,"Notonecta glauca",4,"Notonecta glauca 4",3,30,27,3,2,33,2018-04-11
201,"Notonecta glauca",4,"Notonecta glauca 4",3,30,22,8,2,8,2018-04-16
202,"Notonecta glauca",4,"Notonecta glauca 4",3,80,61,19,2,18,2018-04-04
203,"Notonecta glauca",4,"Notonecta glauca 4",3,80,55,25,2,35,2018-04-11
204,"Notonecta glauca",4,"Notonecta glauca 4",3,80,60,20,2,10,2018-04-16
205,"Notonecta glauca",4,"Notonecta glauca 4",3,120,108,12,2,29,2018-04-04
206,"Notonecta glauca",4,"Notonecta glauca 4",3,120,105,15,2,15,2018-04-11
207,"Notonecta glauca",4,"Notonecta glauca 4",3,120,105,15,2,9,2018-04-16
208,"Notonecta glauca",4,"Notonecta glauca 4",3,180,160,20,2,7,2018-04-04
209,"Notonecta glauca",4,"Notonecta glauca 4",3,180,178,2,2,1,2018-04-11
210,"Notonecta glauca",4,"Notonecta glauca 4",3,180,166,14,2,19,2018-04-16
211,"Ischnura elegans",2,"Ischnura elegans 2",2,30,22,8,1,1,NA
212,"Ischnura elegans",2,"Ischnura elegans 2",2,10,4,6,1,2,NA
213,"Ischnura elegans",4,"Ischnura elegans 4",3,3,2,1,1,3,NA
214,"Ischnura elegans",4,"Ischnura elegans 4",3,10,8,2,1,4,NA
215,"Ischnura elegans",4,"Ischnura elegans 4",3,80,66,14,1,5,NA
216,"Ischnura elegans",4,"Ischnura elegans 4",3,1,1,0,1,6,NA
217,"Ischnura elegans",1,"Ischnura elegans 1",2,3,2,1,1,7,NA
218,"Ischnura elegans",2,"Ischnura elegans 2",2,1,1,0,1,9,NA
219,"Ischnura elegans",0,"Ischnura elegans 0",0,5,5,0,1,10,NA
220,"Ischnura elegans",3,"Ischnura elegans 3",3,80,69,11,1,11,NA
221,"Ischnura elegans",0,"Ischnura elegans 0",0,80,62,18,1,12,NA
222,"Ischnura elegans",4,"Ischnura elegans 4",3,5,5,0,1,13,NA
223,"Ischnura elegans",1,"Ischnura elegans 1",2,5,3,2,1,14,NA
224,"Ischnura elegans",3,"Ischnura elegans 3",3,10,6,4,1,15,NA
225,"Ischnura elegans",3,"Ischnura elegans 3",3,30,24,6,1,16,NA
226,"Ischnura elegans",2,"Ischnura elegans 2",2,3,2,1,1,17,NA
227,"Ischnura elegans",1,"Ischnura elegans 1",2,80,74,6,1,18,NA
228,"Ischnura elegans",3,"Ischnura elegans 3",3,3,0,3,1,20,NA
229,"Ischnura elegans",1,"Ischnura elegans 1",2,1,1,0,1,21,NA
230,"Ischnura elegans",0,"Ischnura elegans 0",0,30,21,9,1,22,NA
231,"Ischnura elegans",0,"Ischnura elegans 0",0,1,1,0,1,23,NA
232,"Ischnura elegans",2,"Ischnura elegans 2",2,5,4,1,1,24,NA
233,"Ischnura elegans",1,"Ischnura elegans 1",2,10,10,0,1,25,NA
234,"Ischnura elegans",1,"Ischnura elegans 1",2,30,25,5,1,26,NA
235,"Ischnura elegans",3,"Ischnura elegans 3",3,1,0,1,1,28,NA
236,"Ischnura elegans",0,"Ischnura elegans 0",0,10,4,6,1,29,NA
237,"Ischnura elegans",3,"Ischnura elegans 3",3,5,4,1,1,30,NA
238,"Ischnura elegans",0,"Ischnura elegans 0",0,3,3,0,1,31,NA
239,"Ischnura elegans",3,"Ischnura elegans 3",3,30,24,6,2,33,NA
240,"Ischnura elegans",1,"Ischnura elegans 1",2,10,9,1,2,34,NA
241,"Ischnura elegans",1,"Ischnura elegans 1",2,1,1,0,2,35,NA
242,"Ischnura elegans",0,"Ischnura elegans 0",0,120,100,20,2,36,NA
243,"Ischnura elegans",1,"Ischnura elegans 1",2,5,5,0,2,37,NA
244,"Ischnura elegans",0,"Ischnura elegans 0",0,10,4,6,2,39,NA
245,"Ischnura elegans",3,"Ischnura elegans 3",3,1,1,0,2,40,NA
246,"Ischnura elegans",0,"Ischnura elegans 0",0,5,3,2,2,41,NA
247,"Ischnura elegans",2,"Ischnura elegans 2",2,1,0,1,2,42,NA
248,"Ischnura elegans",1,"Ischnura elegans 1",2,3,2,1,2,43,NA
249,"Ischnura elegans",0,"Ischnura elegans 0",0,30,23,7,2,44,NA
250,"Ischnura elegans",3,"Ischnura elegans 3",3,10,8,2,2,45,NA
251,"Ischnura elegans",1,"Ischnura elegans 1",2,30,26,4,2,46,NA
252,"Ischnura elegans",2,"Ischnura elegans 2",2,30,25,5,2,47,NA
253,"Ischnura elegans",2,"Ischnura elegans 2",2,3,1,2,2,48,NA
254,"Ischnura elegans",3,"Ischnura elegans 3",3,3,3,0,2,49,NA
255,"Ischnura elegans",0,"Ischnura elegans 0",0,1,0,1,2,50,NA
256,"Ischnura elegans",2,"Ischnura elegans 2",2,120,110,10,2,51,NA
257,"Ischnura elegans",2,"Ischnura elegans 2",2,10,9,1,2,53,NA
258,"Ischnura elegans",4,"Ischnura elegans 4",3,10,8,2,2,54,NA
259,"Ischnura elegans",3,"Ischnura elegans 3",3,120,112,8,2,55,NA
260,"Ischnura elegans",4,"Ischnura elegans 4",3,3,2,1,2,56,NA
261,"Ischnura elegans",1,"Ischnura elegans 1",2,120,111,9,2,57,NA
262,"Ischnura elegans",4,"Ischnura elegans 4",3,1,1,0,2,58,NA
263,"Ischnura elegans",3,"Ischnura elegans 3",3,5,3,2,2,59,NA
264,"Ischnura elegans",4,"Ischnura elegans 4",3,120,104,16,2,60,NA
265,"Ischnura elegans",0,"Ischnura elegans 0",0,3,3,0,2,61,NA
266,"Ischnura elegans",4,"Ischnura elegans 4",3,30,27,3,2,62,NA
267,"Ischnura elegans",2,"Ischnura elegans 2",2,5,5,0,2,63,NA
268,"Ischnura elegans",4,"Ischnura elegans 4",3,5,5,0,2,64,NA
269,"Ischnura elegans",3,"Ischnura elegans 3",3,3,3,0,2,65,NA
270,"Ischnura elegans",4,"Ischnura elegans 4",3,120,113,7,2,66,NA
271,"Ischnura elegans",1,"Ischnura elegans 1",2,1,1,0,2,67,NA
272,"Ischnura elegans",2,"Ischnura elegans 2",2,1,0,1,2,68,NA
273,"Ischnura elegans",3,"Ischnura elegans 3",3,1,1,0,2,69,NA
274,"Ischnura elegans",0,"Ischnura elegans 0",0,1,1,0,2,70,NA
275,"Ischnura elegans",2,"Ischnura elegans 2",2,10,8,2,2,71,NA
276,"Ischnura elegans",2,"Ischnura elegans 2",2,30,27,3,2,72,NA
277,"Ischnura elegans",0,"Ischnura elegans 0",0,30,23,7,2,73,NA
278,"Ischnura elegans",2,"Ischnura elegans 2",2,120,114,6,2,74,NA
279,"Ischnura elegans",3,"Ischnura elegans 3",3,5,5,0,2,75,NA
280,"Ischnura elegans",4,"Ischnura elegans 4",3,3,3,0,2,76,NA
281,"Ischnura elegans",1,"Ischnura elegans 1",2,120,112,8,2,77,NA
282,"Ischnura elegans",2,"Ischnura elegans 2",2,5,5,0,2,78,NA
283,"Ischnura elegans",3,"Ischnura elegans 3",3,30,27,3,2,79,NA
284,"Ischnura elegans",4,"Ischnura elegans 4",3,120,112,8,2,80,NA
285,"Ischnura elegans",1,"Ischnura elegans 1",2,10,8,2,2,83,NA
286,"Ischnura elegans",2,"Ischnura elegans 2",2,3,2,1,2,84,NA
287,"Ischnura elegans",1,"Ischnura elegans 1",2,5,4,1,2,85,NA
288,"Ischnura elegans",1,"Ischnura elegans 1",2,3,3,0,2,86,NA
289,"Ischnura elegans",3,"Ischnura elegans 3",3,10,8,2,2,87,NA
290,"Ischnura elegans",4,"Ischnura elegans 4",3,10,4,6,2,88,NA
291,"Ischnura elegans",4,"Ischnura elegans 4",3,1,0,1,2,89,NA
292,"Ischnura elegans",4,"Ischnura elegans 4",3,5,5,0,2,90,NA
293,"Ischnura elegans",1,"Ischnura elegans 1",2,30,27,3,2,91,NA
294,"Ischnura elegans",3,"Ischnura elegans 3",3,30,29,1,2,92,NA
295,"Ischnura elegans",0,"Ischnura elegans 0",0,10,8,2,2,94,NA
296,"Ischnura elegans",0,"Ischnura elegans 0",0,5,4,1,2,95,NA
297,"Ischnura elegans",0,"Ischnura elegans 0",0,3,1,2,2,96,NA
